amount,_currency,entity,calendar_year,rev_type,donor,contrib_type
613496.94,USD,WHO,2018,R03,European Union,C08A
600487,USD,UNWOMEN,2017,R10,UN OCHA,2
600487,USD,UNWOMEN,2017,R10,UN OCHA,2
600000,USD,UNODC,2018,R03,World Bank Group,C04A
599997.37,USD,WFP,2015,R10,UN OCHA,2
590035.54,USD,IMO,2011,R03,United Nations Development Programme,2
589133,USD,UNU,2015,R12,World Bank Group,2
586415,USD,PAHO,2010,R03,World Bank Group,2
564962,USD,UNAIDS,2010,R03,UN OCHA,2
564420.62,USD,UN Tourism,2016,R10,United Nations Development Programme,2
560775,USD,UNHCR,2016,R12,Private Donors,2
554772.56,USD,ICAO,2015,R09,European Union,2
553611.63,USD,UN Tourism,2013,R03,United Nations Development Programme,2
550000,USD,UNODC,2017,R11,World Bank Group,2
550000,USD,UNODC,2017,R11,World Bank Group,2
544334.85,USD,UNICEF,2016,R08,United Nations Development Programme,2
542000,USD,ILO,2010,R03,World Bank Group,2
536664.44,USD,UNITAR,2013,R03,European Union,2
534985,USD,UNAIDS,2012,R03,UN OCHA,2
534846.89,USD,ICAO,2018,R03,European Union,C08A
530229,USD,UNESCO,2016,R08B,World Bank Group,2
529180,USD,UNWOMEN,2013,R03,The Joint United Nations Programme on HIV/AIDS,2
523548.27,USD,UNHCR,2018,R03,Private Donors,C06
521614,USD,UNITAR,2016,R10,United Nations Development Programme,2
516000,USD,IFAD,2015,R12,Bill & Melinda Gates Foundation,2
514501.6,USD,UN Tourism,2014,R03,United Nations Development Programme,2
512365,USD,UNAIDS,2010,R03,United Nations Development Programme,2
510889.95,USD,UNHCR,2018,R03,Private Donors,C06
510525.89,USD,UN-DOS,2018,R03,Multi Donor Trust Funds,C04D
507125.25,USD,WIPO,2010,R03,European Union,2
500472.3,USD,WIPO,2011,R03,European Union,2
500000,USD,UNHCR,2016,R12,Private Donors,2
499155,USD,WFP,2015,R08,UN OCHA,2
495902.72,USD,UNIDO,2016,R09,European Union,2
494903.76,USD,IMO,2014,R03,United Nations Development Programme,2
494179.5,USD,WFP,2015,R10,UN OCHA,2
494102,USD,UNDP,2016,R12,Private Donors,2
492443,USD,UN-HABITAT,2018,R03,World Bank Group,C04A
489571,USD,UNEP,2010,R03,World Bank Group,2
481607,USD,UNWOMEN,2013,R03,UN OCHA,2
481399.22,USD,IAEA,2012,R03,European Union,2
479628,USD,UNEP,2011,R03,UN OCHA,2
477080.06,USD,WFP,2018,R02,Private Donors,C02
475401,USD,UN,2018,R03,Multi Donor Trust Funds,C04D
475382,USD,UNEP,2018,R03,Private Donors,C04E
475248,USD,UNODC,2011,R03,Global Fund to Fight,2
472657.96,USD,UNHCR,2018,R02,Private Donors,C06
468906.14,USD,FAO,2018,R03,Multi Donor Trust Funds,C04D
460139,USD,PAHO,2013,R03,Gavi Alliance,2
456000,USD,UNAIDS,2018,R03,Global Fund to Fight,C04B
455289,USD,UNU,2009,R03,,2
453307.96,USD,UNICEF,2016,R12,Private Donors,2
446455.62,USD,UNHCR,2018,R03,Private Donors,C06
445298,USD,UNU,2015,R10,United Nations Development Programme,2
439573,USD,UNU,2015,R12,United Nations Development Programme,2
433113.15,USD,UNHCR,2018,R02,Private Donors,C06
427611,USD,UNFPA,2016,R11,World Bank Group,2
423473.65,USD,ICAO,2013,R03,European Union,2
418219.95,USD,FAO,2015,R08B,Global Environment Facility (thru UNDP or UNEP),2
418186.74,USD,FAO,2016,R08B,Global Environment Facility (thru UNDP or UNEP),2
410000,USD,UNHCR,2016,R12,Private Donors,2
403383,USD,UNU,2009,R03,,2
402144.34,USD,UNHCR,2018,R03,Private Donors,C06
400000,USD,UNEP,2011,R03,United Nations,2
400000,USD,UNHCR,2016,R12,Private Donors,2
400000,USD,UN-ESCWA,2018,R03,World Bank Group,C04A
397000,USD,ILO,2010,R03,The Joint United Nations Programme on HIV/AIDS,2
376891.87,USD,UNHCR,2018,R02,Private Donors,C06
375909,USD,UNHCR,2016,R12,Private Donors,2
375429.23,USD,UNITAR,2014,R03,United Nations Development Programme,2
374700,USD,PAHO,2012,R03,UN OCHA,2
370785.13,USD,UNIDO,2015,R09,European Union,2
370499.43,USD,UNIDO,2018,R03,European Union,C08A
362107,USD,UNESCO,2014,R03,United Nations,2
361929.57,USD,UNHCR,2018,R03,Private Donors,C06
357878.66,USD,UNIDO,2016,R09,European Union,2
357038.52,USD,UNIDO,2014,R03,European Union,2
355705.07,USD,UN Tourism,2015,R10,United Nations Development Programme,2
353142,USD,UNESCO,2010,R03,Bill & Melinda Gates Foundation,2
353031.11,USD,IMO,2015,R09,European Union,2
347647.4,USD,UNEP,2018,R03,Private Donors,C06
342157.71,USD,UNITAR,2010,R03,United Nations Development Programme,2
341046,USD,PAHO,2015,R08B,Global Fund to Fight,2
341046,USD,PAHO,2015,R08B,United Nations Development Programme,2
341046,USD,PAHO,2015,R08B,United Nations Development Programme,2
340971.43,USD,UNIDO,2015,R09,European Union,2
339779,USD,WFP,2016,R12,Private Donors,2
337904,USD,UNAIDS,2011,R03,UN OCHA,2
336564,USD,ILO,2017,R11,World Bank Group,2
336564,USD,ILO,2017,R11,World Bank Group,2
331179.35,USD,UNIDO,2015,R09,European Union,2
330112,USD,UNU,2013,R03,World Bank Group,2
327600,USD,UNFPA,2016,R11,World Bank Group,2
320760,USD,UNU,2016,R09,European Union,2
319929.93,USD,IAEA,2018,R03,Private Donors,C06
318938,USD,UNEP,2014,R03,United Nations,2
318657.04,USD,UNIDO,2015,R09,European Union,2
318000,USD,IFAD,2016,R10,United Nations Development Programme,2
316450,USD,UNHCR,2016,R12,Private Donors,2
311503.75,USD,UNWOMEN,2018,R03,UN OCHA,C04D
310105.94,USD,WIPO,2013,R03,European Union,2
308391.64,USD,WFP,2015,R12,Private Donors,2
305151,USD,UNHCR,2016,R12,Private Donors,2
303101,USD,UNU,2009,R03,,2
301400,USD,UNHCR,2016,R12,Private Donors,2
300210,USD,UNWOMEN,2015,R10,UN OCHA,2
300000,USD,UNEP,2018,R03,Private Donors,C02
299729,USD,WFP,2018,R03,World Bank Group,C04A
298344,USD,PAHO,2013,R03,United Nations Development Programme,2
296626,USD,UNU,2009,R03,,2
296106,USD,PAHO,2010,R03,The Joint United Nations Programme on HIV/AIDS,2
293830.05,USD,UNITAR,2014,R03,World Bank Group,2
293681,USD,UNHCR,2016,R12,Private Donors,2
291505.45,USD,WFP,2015,R10,United Nations Development Programme,2
287785,USD,UNITAR,2014,R03,Global Fund to Fight,2
283825.7,USD,ICAO,2016,R08B,Global Environment Facility (thru UNDP or UNEP),2
283373.38,USD,UNSSC,2018,R03,UN OCHA,C04C
276420.98,USD,UNICEF,2016,R12,Private Donors,2
274598.77,USD,UN,2017,R12,World Bank Group,2
274598.77,USD,UN,2017,R12,World Bank Group,2
273081,USD,UNRISD,2018,R03,Private Donors,C02
272163,USD,UNHCR,2016,R12,Private Donors,2
270763,USD,UNHCR,2016,R12,Private Donors,2
270689.65,USD,UNIDO,2018,R03,European Union,C08A
269827,USD,UN-ECLAC,2018,R03,World Bank Group,C04A
268594.03,USD,IMO,2014,R03,European Union,2
268291.8,USD,UNITAR,2014,R03,UN OCHA,2
267903,USD,UNHCR,2016,R12,Private Donors,2
265822,USD,UNHCR,2016,R12,Private Donors,2
265421.23,USD,FAO,2016,R08,Multi Donor Trust Funds,2
261325,USD,PAHO,2011,R03,UN OCHA,2
261202,USD,WFP,2017,R12,Private Donors,2
261202,USD,WFP,2017,R12,Private Donors,2
257523.14,USD,FAO,2016,R08B,Global Environment Facility (thru UNDP or UNEP),2
254000,USD,UNHCR,2016,R12,Private Donors,2
252438,USD,UNHCR,2016,R12,Private Donors,2
251901,USD,UNDP,2018,R02,Private Donors,C06
250000,USD,UNHCR,2016,R12,Private Donors,2
248673.07,USD,FAO,2018,R02,Private Donors,C06
248600,USD,UN-UNISDR,2018,R03,World Bank Group,C04A
244076,USD,PAHO,2014,R03,UN OCHA,2
240853.23,USD,IAEA,2014,R03,Multi Donor Trust Funds,2
240549,USD,UNAIDS,2015,R10,United Nations Development Programme,2
239717,USD,UNICEF,2017,R07,Private Donors,2
238707.44,USD,UNHCR,2018,R02,Private Donors,C06
236881.5,USD,UNICEF,2016,R12,Private Donors,2
235987.96,USD,UNFPA,2015,R02,Private Donors,2
235936.46,USD,ICAO,2015,R08B,Global Environment Facility (thru UNDP or UNEP),2
233125,USD,UNHCR,2016,R12,Private Donors,2
232842.33,USD,UNITAR,2014,R03,European Union,2
231313.06,USD,UNICEF,2015,R12,Private Donors,2
231162.78,USD,UNICEF,2016,R12,Private Donors,2
230312,USD,UNICEF,2017,R07,Private Donors,2
230000,USD,IFAD,2014,R03,Bill & Melinda Gates Foundation,2
226928.38,USD,FAO,2018,R03,Multi Donor Trust Funds,C04D
226603,USD,UNHCR,2016,R12,Private Donors,2
224943,USD,UNAIDS,2017,R08,Multi Donor Trust Funds,2
224943,USD,UNAIDS,2017,R08,Multi Donor Trust Funds,2
222965,USD,UNHCR,2016,R12,Private Donors,2
222597,USD,PAHO,2014,R03,Bill & Melinda Gates Foundation,2
220653,USD,UNHCR,2016,R12,Private Donors,2
215162,USD,UNHCR,2016,R12,Private Donors,2
215000,USD,ITC,2013,R03,United Nations Development Programme,2
215000,USD,UNICEF,2015,R12,Private Donors,2
214867,USD,UNU,2009,R03,,2
205909,USD,PAHO,2014,R03,United Nations Development Programme,2
204270,USD,UNU,2009,R03,,2
204132.61,USD,UN,2018,R03,Private Donors,C06
200257,USD,WFP,2016,R08,UN OCHA,2
200000,USD,ILO,2010,R03,UN OCHA,2
200000,USD,UNEP,2018,R03,Private Donors,C06
197822,USD,UNU,2009,R03,Mitsui Engineering & Shipbuilding Co. Ltd,2
197275.97,USD,UN,2014,R03,United Nations,2
195768,USD,UNDP,2016,R10,United Nations Development Programme,2
192867.97,USD,UN-UNISDR,2018,R03,Private Donors,C06
189852,USD,UNU,2010,R03,World Bank Group,2
188676.03,USD,WFP,2018,R02,Private Donors,C06
187496.18,USD,UNICEF,2015,R12,Private Donors,2
187397.6,USD,UNITAR,2015,R10,UN OCHA,2
184897,USD,UNU,2009,R03,,2
183200,USD,UNU,2009,R03,United Nations Office for Project Services,2
182899.96,USD,UNHCR,2018,R02,Private Donors,C06
182887,USD,UNHCR,2016,R12,Private Donors,2
182017.54,USD,UNICEF,2015,R12,Private Donors,2
180416,USD,UNESCO,2017,R08,Multi Donor Trust Funds,2
180416,USD,UNESCO,2017,R08,Multi Donor Trust Funds,2
179297,USD,UNHCR,2016,R12,Private Donors,2
176304.69,USD,UNDP,2018,R02,Private Donors,C06
172508.95,USD,UNICEF,2015,R12,Private Donors,2
170844,USD,PAHO,2011,R03,Global Fund to Fight,2
170737.54,USD,UN Tourism,2013,R03,European Union,2
170000,USD,UNWOMEN,2018,R02,USA National Committee,C06
169875.42,USD,UNICEF,2016,R12,Private Donors,2
169150,USD,UNICEF,2016,R12,Private Donors,2
169147.46,USD,UNICEF,2016,R12,Private Donors,2
167001.96,USD,UNFPA,2016,R11,World Bank Group,2
166145.3,USD,UNIDO,2015,R09,European Union,2
166012,USD,UNU,2009,R03,,2
163937,USD,IOM,2017,R05,Private Donors,2
163937,USD,IOM,2017,R05,Private Donors,2
163799,USD,UN,2016,R12,Private Donors,2
163588,USD,UNHCR,2016,R12,Private Donors,2
163505,USD,UNDP,2015,R11,World Bank Group,2
163140.24,USD,IMO,2013,R03,United Nations Development Programme,2
163026,USD,UNHCR,2016,R12,Private Donors,2
162486,USD,UNU,2009,R03,,2
160871,USD,UNHCR,2016,R12,Private Donors,2
160029.28,USD,UNICEF,2015,R12,Private Donors,2
158000,USD,IFAD,2014,R03,United Nations Development Programme,2
157620,USD,ITC,2018,R03,World Bank Group,C04A
157000,USD,UNICEF,2015,R12,Private Donors,2
156000,USD,UNHCR,2016,R12,Private Donors,2
155634,USD,ITC,2016,R08,Multi Donor Trust Funds,2
151581.93,USD,UNICEF,2015,R12,Private Donors,2
150571,USD,PAHO,2013,R03,UN OCHA,2
150508,USD,UNU,2009,R03,,2
150000,USD,ITC,2015,R08,United Nations Development Programme,2
150000,USD,UNITAR,2016,R10,United Nations Development Programme,2
149938.36,USD,IARC,2018,R03,World Bank Group,C04A
146900,USD,UNEP,2011,R03,Multilateral Fund Secretariat in Montreal,2
145645,USD,UNHCR,2016,R12,Private Donors,2
144300,USD,UNHCR,2016,R12,Private Donors,2
143858.86,USD,UNIDO,2018,R03,European Union,C08A
143798,USD,UNAIDS,2012,R03,United Nations Development Programme,2
143596,USD,UNHCR,2016,R12,Private Donors,2
143091,USD,UNHCR,2016,R12,Private Donors,2
141289,USD,UNHCR,2016,R12,Private Donors,2
140785,USD,UNHCR,2016,R12,Private Donors,2
138209.83,USD,UN-ECE,2018,R03,European Union,C08A
137523,USD,UNHCR,2016,R12,Private Donors,2
137507.67,USD,IAEA,2011,R03,United Nations Development Programme,2
132628,USD,UNAIDS,2016,R10,United Nations Development Programme,2
132601.74,USD,UNICEF,2016,R12,Private Donors,2
126939.09,USD,IOM,2018,R03,Private Donors,C06
126797,USD,PAHO,2015,R10,UN OCHA,2
126797,USD,PAHO,2015,R10,UN OCHA,2
124064.69,USD,UN,2015,R11,World Bank Group,2
122189,USD,UNHCR,2016,R12,Private Donors,2
120582,USD,UNDP,2016,R11,Global Environment Facility (thru UNDP or UNEP),2
120000,USD,UNAIDS,2012,R03,Bill & Melinda Gates Foundation,2
120000,USD,IOM,2016,R08,UN OCHA,2
120000,USD,UNHCR,2016,R12,Private Donors,2
118013,USD,UNHCR,2016,R12,Private Donors,2
115222.5,USD,UNEP,2018,R03,Private Donors,C02
115000,USD,WFP,2016,R11,World Bank Group,2
110980,USD,UNITAR,2016,R08B,Global Fund to Fight,2
110780.75,USD,UN,2018,R03,World Bank Group,C04A
109290,USD,UNHCR,2016,R12,Private Donors,2
107950,USD,UNAIDS,2017,R08B,Global Fund to Fight,2
107950,USD,UNAIDS,2017,R08B,Global Fund to Fight,2
107769.97,USD,WFP,2018,R02,Private Donors,C05
107617,USD,PAHO,2016,R08B,United Nations Development Programme,2
107450,USD,UNHCR,2016,R12,Private Donors,2
104044,USD,UNHCR,2016,R12,Private Donors,2
103266,USD,UNU,2018,R03,Private Donors,C06
101215,USD,UNHCR,2016,R12,Private Donors,2
100000,USD,UNHCR,2016,R12,Private Donors,2
100000,USD,WFP,2016,R08,United Nations Development Programme,2
100000,USD,UNEP,2018,R03,Global Environment Facility (thru UNDP or UNEP),C04B
99973,USD,UNHCR,2016,R12,Private Donors,2
99516,USD,UNAIDS,2012,R03,UN OCHA,2
99000,USD,ITC,2011,R03,United Nations Development Programme,2
98262,USD,UNU,2015,R12,European Union,2
98026,USD,UNHCR,2016,R12,Private Donors,2
97864.66,USD,UNICEF,2016,R12,Private Donors,2
97433.21,USD,UN-DESA,2018,R03,World Bank Group,C04A
96100,USD,UNAIDS,2014,R03,UN OCHA,2
95823,USD,UNU,2016,R12,European Union,2
91880,USD,UNICEF,2017,R07,Private Donors,2
90753.84,USD,UNITAR,2011,R03,United Nations,2
90717,USD,UNDP,2015,R10,United Nations Development Programme,2
89638,USD,UNHCR,2016,R12,Private Donors,2
89303,USD,UNU,2017,R12,European Union,2
89303,USD,UNU,2017,R12,European Union,2
88856.06,USD,IMO,2013,R03,European Union,2
87302,USD,UNHCR,2016,R12,Private Donors,2
86100,USD,UNICEF,2016,R12,Private Donors,2
85854.54,USD,UNICEF,2016,R12,Private Donors,2
84122,USD,UNHCR,2016,R12,Private Donors,2
81377,USD,PAHO,2012,R03,United Nations Development Programme,2
79687.34,USD,UN-ECA,2018,R03,World Bank Group,C04A
79618,USD,UNHCR,2016,R12,Private Donors,2
78838.4,USD,FAO,2015,R10,United Nations Development Programme,2
78049,USD,UNDP,2018,R02,European Union,C08A
76841,USD,UNHCR,2016,R12,Private Donors,2
76792,USD,UNAIDS,2014,R03,United Nations Development Programme,2
76350,USD,UNICEF,2017,R05,Private Donors,2
75312.43,USD,UNICEF,2015,R12,Private Donors,2
75274,USD,UNHCR,2016,R12,Private Donors,2
75230,USD,UNSSC,2017,R10,UN OCHA,2
75230,USD,UNSSC,2017,R10,UN OCHA,2
74949.12,USD,IAEA,2011,R03,European Union,2
73910,USD,UNHCR,2016,R12,Private Donors,2
72009,USD,UNICEF,2015,R12,Private Donors,2
71707.77,USD,UNHCR,2018,R02,Private Donors,C06
71327,USD,UNHCR,2016,R12,Private Donors,2
70971.1,USD,UNHCR,2018,R03,Private Donors,C06
70498.8,USD,UNICEF,2016,R12,Private Donors,2
70000,USD,UN,2015,R11,World Bank Group,2
70000,USD,ILO,2016,R11,World Bank Group,2
69320.38,USD,UNHCR,2018,R02,Private Donors,C06
69193.08,USD,UNICEF,2015,R12,Private Donors,2
66026.15,USD,UNICEF,2015,R12,Private Donors,2
65645.51,USD,UNIDO,2015,R09,European Union,2
65616.44,USD,UNHCR,2018,R03,Private Donors,C06
65532.14,USD,UNWOMEN,2017,R10,UN OCHA,2
65532.14,USD,UNWOMEN,2017,R10,UN OCHA,2
65122.21,USD,UNIDO,2017,R09,European Union,2
65122.21,USD,UNIDO,2017,R09,European Union,2
64705.88,USD,UNICEF,2015,R12,Private Donors,2
64497.82,USD,UN-ESCAP,2018,R03,European Union,C08A
61406,USD,PAHO,2015,R10,Global Fund to Fight,2
61406,USD,PAHO,2015,R10,United Nations Development Programme,2
61406,USD,PAHO,2015,R10,United Nations Development Programme,2
61370,USD,UNAIDS,2016,R08B,Global Fund to Fight,2
60240.97,USD,UN,2017,R09,European Union,2
60240.97,USD,UN,2017,R09,European Union,2
60132,USD,UNHCR,2016,R12,Private Donors,2
60112,USD,PAHO,2013,R03,World Bank Group,2
60000,USD,UNEP,2018,R03,Private Donors,C06
60000,USD,UN-OHCHR,2018,R03,World Bank Group,C04A
59994.98,USD,WFP,2018,R03,Private Donors,C02
59661,USD,WFP,2016,R10,United Nations Development Programme,2
59495,USD,UNU,2015,R12,European Union,2
59136,USD,UNRISD,2018,R03,Private Donors,C07
58773.97,USD,FAO,2016,R12,World Bank Group,2
58501,USD,PAHO,2010,R03,UN OCHA,2
57402,USD,WFP,2017,R12,Private Donors,2
57402,USD,WFP,2017,R12,Private Donors,2
57118,USD,UNU,2017,R12,World Bank Group,2
57118,USD,UNU,2017,R12,World Bank Group,2
56890,USD,UNFPA,2018,R02,Private Donors,C08B
56689,USD,UNHCR,2016,R12,Private Donors,2
55810.35,USD,IAEA,2012,R03,United Nations Development Programme,2
53780.22,USD,WFP,2018,R03,Private Donors,C06
53519.42,USD,UNICEF,2016,R12,Private Donors,2
53322.84,USD,UNHCR,2018,R03,Private Donors,C06
52101,USD,UNICEF,2017,R07,Private Donors,2
51108.15,USD,UNODC,2018,R03,Private Donors,C04C
50000,USD,UNU,2014,R03,Multi Donor Trust Funds,2
50000,USD,UNU,2014,R03,United Nations,2
50000,USD,UNHCR,2016,R12,Private Donors,2
49533.47,USD,UNIDO,2016,R09,European Union,2
49499.59,USD,UN Tourism,2018,R03,World Bank Group,C04A
47040,USD,UNICEF,2016,R12,Private Donors,2
46100.38,USD,UN-DESA,2018,R03,Bill & Melinda Gates Foundation,C05
46096.24,USD,UNHCR,2018,R02,Private Donors,C06
45000,USD,UNEP,2018,R03,Private Donors,C06
44745,USD,UNICEF,2015,R12,Private Donors,2
44562.54,USD,UNICEF,2015,R12,Private Donors,2
43778.26,USD,WFP,2015,R12,Private Donors,2
43266.74,USD,UNIDO,2016,R09,European Union,2
43209.78,USD,UNICEF,2015,R12,Private Donors,2
42635,USD,UNEP,2018,R03,Private Donors,C06
42386.63,USD,UNITAR,2016,R09,European Union,2
42000,USD,UNODC,2016,R12,Private Donors,2
41362.75,USD,IAEA,2013,R03,United Nations Development Programme,2
41325,USD,UNEP,2018,R03,Private Donors,C06
40850,USD,UNEP,2018,R03,Private Donors,C06
40850,USD,UNEP,2018,R03,Private Donors,C06
40000,USD,UN,2010,R03,UN OCHA,2
40000,USD,UNHCR,2016,R10,United Nations Development Programme,2
40000,USD,UNEP,2018,R03,Private Donors,C02
40000,USD,UNEP,2018,R03,Private Donors,C06
40000,USD,UNEP,2018,R03,Private Donors,C06
40000,USD,UNEP,2018,R03,Private Donors,C06
40000,USD,UNDP,2018,R03,Multi Donor Trust Funds,C02
38326,USD,UN,2016,R11,World Bank Group,2
37593.96,USD,UN-DPO,2018,R03,European Union,C08A
36525.7,USD,UNEP,2018,R03,Private Donors,C02
36185,USD,UNHCR,2016,R12,Private Donors,2
35127,USD,PAHO,2016,R10,United Nations Development Programme,2
33800,USD,UNICEF,2015,R12,Private Donors,2
33766,USD,UNEP,2018,R03,Private Donors,C06
33550.1,USD,UNHCR,2018,R02,Private Donors,C06
31648.94,USD,UNEP,2018,R03,Private Donors,C02
30999,USD,UNHCR,2016,R12,Private Donors,2
30370.72,USD,UNHCR,2018,R03,Private Donors,C06
30000,USD,UNAIDS,2012,R03,Global Fund to Fight,2
30000,USD,UNEP,2015,R03,Global Environment Facility (thru UNDP or UNEP),2
30000,USD,UNODC,2015,R11,Global Environment Facility (thru UNDP or UNEP),2
30000,USD,UNEP,2018,R03,Private Donors,C06
28784.29,USD,UNICEF,2015,R12,Private Donors,2
28756.25,USD,WFP,2018,R02,Private Donors,C05
28700,USD,UNICEF,2016,R12,Private Donors,2
28052,USD,UNFPA,2018,R03,European Union,C08A
27620,USD,WFP,2018,R03,Private Donors,C05
27531.25,USD,UNHCR,2018,R03,Private Donors,C06
27180,USD,UNEP,2018,R03,Private Donors,C06
26441,USD,UNODC,2017,R12,Private Donors,2
26441,USD,UNODC,2017,R12,Private Donors,2
26433.12,USD,UNICEF,2016,R12,Private Donors,2
25337.28,USD,UNHCR,2018,R02,Private Donors,C06
25200,USD,UNICEF,2016,R12,Private Donors,2
25117,USD,UNHCR,2018,R03,Private Donors,C06
25000,USD,UNHCR,2018,R02,Private Donors,C06
25000,USD,UNEP,2018,R03,Private Donors,C06
23883.08,USD,UNHCR,2018,R02,Private Donors,C06
23215.24,USD,UNICEF,2016,R12,Private Donors,2
22236.67,USD,IARC,2018,R02,Private Donors,C06
21900,USD,UNEP,2018,R03,Private Donors,C06
21739,USD,UNHCR,2016,R12,Private Donors,2
21115,USD,UNEP,2018,R03,Private Donors,C06
20825,USD,UNEP,2018,R03,Private Donors,C06
20517.05,USD,WFP,2018,R03,Private Donors,C05
20425,USD,UNEP,2018,R03,Private Donors,C06
20425,USD,UNEP,2018,R03,Private Donors,C06
20350,USD,UNEP,2018,R03,Private Donors,C06
20350,USD,UNEP,2018,R03,Private Donors,C06
20260,USD,UNEP,2018,R03,Private Donors,C06
20000,USD,UNITAR,2014,R03,United Nations,2
20000,USD,UNAIDS,2011,R03,Global Fund to Fight,2
20000,USD,WFP,2015,R10,United Nations Development Programme,2
20000,USD,WFP,2015,R10,United Nations Development Programme,2
20000,USD,UNEP,2018,R03,Private Donors,C06
20000,USD,UNEP,2018,R03,Private Donors,C06
20000,USD,UNEP,2018,R03,Private Donors,C04E
19802.81,USD,UNHCR,2018,R02,Private Donors,C06
19554.18,USD,WMO,2014,R03,United Nations,2
19540,USD,UNEP,2018,R03,Private Donors,C06
19530,USD,UNSSC,2018,R03,World Bank Group,C04A
19498.86,USD,UN-ESCWA,2018,R03,World Bank Group,C07
19449.6,USD,IAEA,2012,R03,United Nations,2
19206.43,USD,UNICEF,2015,R12,Private Donors,2
19110.2,USD,WFP,2018,R02,Private Donors,C05
18899,USD,UNHCR,2016,R12,Private Donors,2
18480,USD,UNITAR,2017,R08B,Global Fund to Fight,2
18480,USD,UNITAR,2017,R08B,Global Fund to Fight,2
17927.26,USD,UNHCR,2018,R03,Private Donors,C06
17000,USD,UNODC,2016,R11,World Bank Group,2
16581.53,USD,WFP,2015,R12,Private Donors,2
16325.1,USD,UNICEF,2015,R12,Private Donors,2
16149.24,USD,UNHCR,2018,R02,Private Donors,C06
15901.52,USD,UNICEF,2015,R12,Private Donors,2
15736.34,USD,ICAO,2016,R10,United Nations Development Programme,2
15322.18,USD,UNIDO,2016,R09,European Union,2
15108.73,USD,UNHCR,2018,R02,Private Donors,C06
15000,USD,UNEP,2018,R03,Private Donors,C02
14893,USD,UNHCR,2016,R12,Private Donors,2
14857,USD,UNEP,2018,R03,Private Donors,C06
14776.49,USD,WFP,2015,R12,Private Donors,2
14588.25,USD,UNHCR,2018,R03,Private Donors,C06
14447,USD,UNHCR,2016,R12,Private Donors,2
14245,USD,UNEP,2018,R03,Private Donors,C06
13851,USD,UNEP,2018,R03,Private Donors,C06
13679,USD,WFP,2017,R12,Private Donors,2
13679,USD,WFP,2017,R12,Private Donors,2
13644,USD,UNHCR,2016,R12,Private Donors,2
13460,USD,UNEP,2018,R03,Private Donors,C06
13299.66,USD,UNICEF,2015,R12,Private Donors,2
13270,USD,UNEP,2018,R03,Private Donors,C06
13010.46,USD,UNIDO,2016,R10,United Nations Development Programme,2
12959.96,USD,UNHCR,2018,R02,Private Donors,C06
12795,USD,UNICEF,2015,R12,Private Donors,2
12715,USD,PAHO,2010,R03,United Nations Development Programme,2
12637,USD,WFP,2016,R12,Private Donors,2
12500,USD,UNEP,2018,R03,Private Donors,C02
12422.07,USD,UNIDO,2015,R09,European Union,2
12071,USD,WFP,2016,R12,Private Donors,2
12015.54,USD,WFP,2015,R12,Private Donors,2
11766,USD,WFP,2017,R12,Private Donors,2
11766,USD,WFP,2017,R12,Private Donors,2
11392,USD,UNAIDS,2015,R09,European Union,2
11376.56,USD,UNEP,2018,R03,Private Donors,C06
11161.27,USD,UN-ECE,2018,R03,World Bank Group,C04A
11038,USD,UNHCR,2016,R12,Private Donors,2
10861,USD,UNEP,2018,R03,Private Donors,C06
10723.05,USD,UNHCR,2018,R02,Private Donors,C06
10490,USD,UNEP,2018,R03,Private Donors,C06
10371.94,USD,UNICEF,2015,R12,Private Donors,2
10250,USD,UNEP,2018,R03,Private Donors,C06
10250,USD,UNEP,2018,R03,Private Donors,C06
10175,USD,UNEP,2018,R03,Private Donors,C06
10175,USD,UNEP,2018,R03,Private Donors,C06
10175,USD,UNEP,2018,R03,Private Donors,C06
10175,USD,UNEP,2018,R03,Private Donors,C06
10175,USD,UNEP,2018,R03,Private Donors,C06
10071.92,USD,UNICEF,2015,R12,Private Donors,2
10032.43,USD,UN-ESCAP,2018,R03,World Bank Group,C07
10000,USD,UNEP,2015,R10,Global Environment Facility (thru UNDP or UNEP),2
10000,USD,WFP,2016,R12,Private Donors,2
10000,USD,UNHCR,2018,R02,Private Donors,C06
10000,USD,UNEP,2018,R03,Private Donors,C02
9642.57,USD,UNEP,2018,R03,Private Donors,C06
9600,USD,UNEP,2018,R03,Private Donors,C05
9560,USD,UNEP,2018,R03,Private Donors,C06
9043.93,USD,IAEA,2011,R03,United Nations,2
8799,USD,UNHCR,2016,R12,Private Donors,2
8643.58,USD,WFP,2015,R12,Private Donors,2
8434.43,USD,UNICEF,2015,R07,European Union,2
8408.05,USD,UNICEF,2015,R12,Private Donors,2
8056,USD,UNEP,2018,R03,Private Donors,C06
7995,USD,UNICEF,2017,R07,Private Donors,2
7947,USD,UNDP,2018,R02,Global Environment Facility (thru UNDP or UNEP),C04B
7908,USD,UNEP,2018,R03,Private Donors,C06
7676,USD,UNHCR,2016,R12,Private Donors,2
7512.33,USD,UNSSC,2017,R11,World Bank Group,2
7512.33,USD,UNSSC,2017,R11,World Bank Group,2
7443,USD,UNU,2016,R12,World Bank Group,2
7435,USD,UNEP,2018,R03,Private Donors,C06
7284.58,USD,WFP,2018,R03,Private Donors,C05
6892,USD,UNHCR,2016,R12,Private Donors,2
6041.03,USD,ITU,2018,R01,European Union,C08A
5989.24,USD,UNICEF,2016,R12,Private Donors,2
